SampleNo,Tx,Ty,Tz,Q11,Q12,Q21,Q22
1.0,3.412,0.0,0.5,0.9999984769132877,0.0,0.0,0.0017453283658983088
2.0,3.412,0.0,0.5,0.9999984769132877,0.0,0.0,0.0017453283658983088
3.0,3.412,0.0,0.5,0.9999984769132877,0.0,0.0,0.0017453283658983088
4.0,3.412,0.0,0.5,0.9999984769132877,0.0,0.0,0.0017453283658983088
5.0,3.412,0.0,0.5,0.9999984769132877,0.0,0.0,0.0017453283658983088
6.0,3.412,0.0,0.5,0.9999984769132877,0.0,0.0,0.0017453283658983088
7.0,3.412,0.0,0.5,0.9999984769132877,0.0,0.0,0.0017453283658983088
8.0,3.412,0.0,0.5,0.9999984769132877,0.0,0.0,0.0017453283658983088
9.0,3.412,0.0,0.5,0.9999984769132877,0.0,0.0,0.0017453283658983088
10.0,3.412,0.0,0.5,0.9999984769132877,0.0,0.0,0.0017453283658983088
11.0,3.412,0.0,0.5,0.9999984769132877,0.0,0.0,0.0017453283658983088
12.0,3.412,0.0,0.5,0.9999984769132877,0.0,0.0,0.0017453283658983088
13.0,3.412,0.0,0.5,0.9999984769132877,0.0,0.0,0.0017453283658983088
14.0,3.412,0.0,0.5,0.9999984769132877,0.0,0.0,0.0017453283658983088
15.0,3.412,0.0,0.5,0.9999984769132877,0.0,0.0,0.0017453283658983088
16.0,3.412,0.0,0.5,0.9999984769132877,0.0,0.0,0.0017453283658983088
17.0,3.412,0.0,0.5,0.9999984769132877,0.0,0.0,0.0017453283658983088
18.0,3.412,0.0,0.5,0.9999984769132877,0.0,0.0,0.0017453283658983088
19.0,3.412,0.0,0.5,0.9999984769132877,0.0,0.0,0.0017453283658983088
20.0,3.412,0.0,0.5,0.9999984769132877,0.0,0.0,0.0017453283658983088
21.0,3.412,0.0,0.5,0.9999984769132877,0.0,0.0,0.0017453283658983088
22.0,3.412,0.0,0.5,0.9999984769132877,0.0,0.0,0.0017453283658983088
23.0,3.412,0.0,0.5,0.9999984769132877,0.0,0.0,0.0017453283658983088
24.0,3.412,0.0,0.5,0.9999984769132877,0.0,0.0,0.0017453283658983088
25.0,3.412,0.0,0.5,0.9999984769132877,0.0,0.0,0.0017453283658983088
26.0,3.412,0.0,0.5,0.9999984769132877,0.0,0.0,0.0017453283658983088
27.0,3.412,0.0,0.5,0.9999984769132877,0.0,0.0,0.0017453283658983088
28.0,3.412,0.0,0.5,0.9999984769132877,0.0,0.0,0.0017453283658983088
29.0,3.412,0.0,0.5,0.9999984769132877,0.0,0.0,0.0017453283658983088
30.0,3.412,0.0,0.5,0.9999984769132877,0.0,0.0,0.0017453283658983088
