SampleNo,Tx,Ty,Tz,Q11,Q12,Q21,Q22
1.0,-0.562,-0.618,0.53,0.04361938736533623,0.0,0.0,-0.9990482215818578
2.0,-0.562,-0.618,0.53,0.04361938736533623,0.0,0.0,-0.9990482215818578
3.0,-0.562,-0.618,0.53,0.04361938736533623,0.0,0.0,-0.9990482215818578
4.0,-0.562,-0.618,0.53,0.04361938736533623,0.0,0.0,-0.9990482215818578
5.0,-0.562,-0.618,0.53,0.04361938736533623,0.0,0.0,-0.9990482215818578
6.0,-0.562,-0.618,0.53,0.04361938736533623,0.0,0.0,-0.9990482215818578
7.0,-0.562,-0.618,0.53,0.04361938736533623,0.0,0.0,-0.9990482215818578
8.0,-0.562,-0.618,0.53,0.04361938736533623,0.0,0.0,-0.9990482215818578
9.0,-0.562,-0.618,0.53,0.04361938736533623,0.0,0.0,-0.9990482215818578
10.0,-0.562,-0.618,0.53,0.04361938736533623,0.0,0.0,-0.9990482215818578
11.0,-0.562,-0.618,0.53,0.04361938736533623,0.0,0.0,-0.9990482215818578
12.0,-0.562,-0.618,0.53,0.04361938736533623,0.0,0.0,-0.9990482215818578
13.0,-0.562,-0.618,0.53,0.04361938736533623,0.0,0.0,-0.9990482215818578
14.0,-0.562,-0.618,0.53,0.04361938736533623,0.0,0.0,-0.9990482215818578
15.0,-0.562,-0.618,0.53,0.04361938736533623,0.0,0.0,-0.9990482215818578
16.0,-0.562,-0.618,0.53,0.04361938736533623,0.0,0.0,-0.9990482215818578
17.0,-0.562,-0.618,0.53,0.04361938736533623,0.0,0.0,-0.9990482215818578
18.0,-0.562,-0.618,0.53,0.04361938736533623,0.0,0.0,-0.9990482215818578
19.0,-0.562,-0.618,0.53,0.04361938736533623,0.0,0.0,-0.9990482215818578
20.0,-0.562,-0.618,0.53,0.04361938736533623,0.0,0.0,-0.9990482215818578
21.0,-0.562,-0.618,0.53,0.04361938736533623,0.0,0.0,-0.9990482215818578
22.0,-0.562,-0.618,0.53,0.04361938736533623,0.0,0.0,-0.9990482215818578
23.0,-0.562,-0.618,0.53,0.04361938736533623,0.0,0.0,-0.9990482215818578
24.0,-0.562,-0.618,0.53,0.04361938736533623,0.0,0.0,-0.9990482215818578
25.0,-0.562,-0.618,0.53,0.04361938736533623,0.0,0.0,-0.9990482215818578
26.0,-0.562,-0.618,0.53,0.04361938736533623,0.0,0.0,-0.9990482215818578
27.0,-0.562,-0.618,0.53,0.04361938736533623,0.0,0.0,-0.9990482215818578
28.0,-0.562,-0.618,0.53,0.04361938736533623,0.0,0.0,-0.9990482215818578
29.0,-0.562,-0.618,0.53,0.04361938736533623,0.0,0.0,-0.9990482215818578
30.0,-0.562,-0.618,0.53,0.04361938736533623,0.0,0.0,-0.9990482215818578
31.0,-0.562,-0.618,0.53,0.04361938736533623,0.0,0.0,-0.9990482215818578
32.0,-0.562,-0.618,0.53,0.04361938736533623,0.0,0.0,-0.9990482215818578
33.0,-0.562,-0.618,0.53,0.04361938736533623,0.0,0.0,-0.9990482215818578
34.0,-0.562,-0.618,0.53,0.04361938736533623,0.0,0.0,-0.9990482215818578
35.0,-0.562,-0.618,0.53,0.04361938736533623,0.0,0.0,-0.9990482215818578
36.0,-0.562,-0.618,0.53,0.04361938736533623,0.0,0.0,-0.9990482215818578
37.0,-0.562,-0.618,0.53,0.04361938736533623,0.0,0.0,-0.9990482215818578
38.0,-0.562,-0.618,0.53,0.04361938736533623,0.0,0.0,-0.9990482215818578
39.0,-0.562,-0.618,0.53,0.04361938736533623,0.0,0.0,-0.9990482215818578
40.0,-0.562,-0.618,0.53,0.04361938736533623,0.0,0.0,-0.9990482215818578
41.0,-0.562,-0.618,0.53,0.04361938736533623,0.0,0.0,-0.9990482215818578
42.0,-0.562,-0.618,0.53,0.04361938736533623,0.0,0.0,-0.9990482215818578
43.0,-0.562,-0.618,0.53,0.04361938736533623,0.0,0.0,-0.9990482215818578
44.0,-0.562,-0.618,0.53,0.04361938736533623,0.0,0.0,-0.9990482215818578
45.0,-0.562,-0.618,0.53,0.04361938736533623,0.0,0.0,-0.9990482215818578
46.0,-0.562,-0.618,0.53,0.04361938736533623,0.0,0.0,-0.9990482215818578
