SampleNo,Tx,Ty,Tz,Q11,Q12,Q21,Q22
1.0,-0.562,0.628,0.53,0.04876260733128922,0.0,0.0,0.9988103964848657
2.0,-0.562,0.628,0.53,0.04876260733128922,0.0,0.0,0.9988103964848657
3.0,-0.562,0.628,0.53,0.04876260733128922,0.0,0.0,0.9988103964848657
4.0,-0.562,0.628,0.53,0.04876260733128922,0.0,0.0,0.9988103964848657
5.0,-0.562,0.628,0.53,0.04876260733128922,0.0,0.0,0.9988103964848657
6.0,-0.562,0.628,0.53,0.04876260733128922,0.0,0.0,0.9988103964848657
7.0,-0.562,0.628,0.53,0.04876260733128922,0.0,0.0,0.9988103964848657
8.0,-0.562,0.628,0.53,0.04876260733128922,0.0,0.0,0.9988103964848657
9.0,-0.562,0.628,0.53,0.04876260733128922,0.0,0.0,0.9988103964848657
10.0,-0.562,0.628,0.53,0.04876260733128922,0.0,0.0,0.9988103964848657
11.0,-0.562,0.628,0.53,0.04876260733128922,0.0,0.0,0.9988103964848657
12.0,-0.562,0.628,0.53,0.04876260733128922,0.0,0.0,0.9988103964848657
13.0,-0.562,0.628,0.53,0.04876260733128922,0.0,0.0,0.9988103964848657
14.0,-0.562,0.628,0.53,0.04876260733128922,0.0,0.0,0.9988103964848657
15.0,-0.562,0.628,0.53,0.04876260733128922,0.0,0.0,0.9988103964848657
16.0,-0.562,0.628,0.53,0.04876260733128922,0.0,0.0,0.9988103964848657
17.0,-0.562,0.628,0.53,0.04876260733128922,0.0,0.0,0.9988103964848657
18.0,-0.562,0.628,0.53,0.04876260733128922,0.0,0.0,0.9988103964848657
19.0,-0.562,0.628,0.53,0.04876260733128922,0.0,0.0,0.9988103964848657
20.0,-0.562,0.628,0.53,0.04876260733128922,0.0,0.0,0.9988103964848657
21.0,-0.562,0.628,0.53,0.04876260733128922,0.0,0.0,0.9988103964848657
22.0,-0.562,0.628,0.53,0.04876260733128922,0.0,0.0,0.9988103964848657
23.0,-0.562,0.628,0.53,0.04876260733128922,0.0,0.0,0.9988103964848657
24.0,-0.562,0.628,0.53,0.04876260733128922,0.0,0.0,0.9988103964848657
25.0,-0.562,0.628,0.53,0.04876260733128922,0.0,0.0,0.9988103964848657
26.0,-0.562,0.628,0.53,0.04876260733128922,0.0,0.0,0.9988103964848657
27.0,-0.562,0.628,0.53,0.04876260733128922,0.0,0.0,0.9988103964848657
28.0,-0.562,0.628,0.53,0.04876260733128922,0.0,0.0,0.9988103964848657
29.0,-0.562,0.628,0.53,0.04876260733128922,0.0,0.0,0.9988103964848657
30.0,-0.562,0.628,0.53,0.04876260733128922,0.0,0.0,0.9988103964848657
31.0,-0.562,0.628,0.53,0.04876260733128922,0.0,0.0,0.9988103964848657
