SampleNo,Tx,Ty,Tz,Q11,Q12,Q21,Q22
1.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
2.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
3.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
4.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
5.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
6.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
7.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
8.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
9.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
10.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
11.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
12.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
13.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
14.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
15.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
16.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
17.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
18.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
19.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
20.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
21.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
22.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
23.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
24.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
25.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
26.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
27.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
28.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
29.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
30.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
31.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
32.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
33.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
34.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
35.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
36.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
37.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
38.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
39.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
40.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
41.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
42.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
43.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
44.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
45.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
46.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
47.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
48.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
49.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
50.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
51.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
52.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
53.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
54.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
55.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
56.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
57.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
58.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
59.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
60.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
61.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
62.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
63.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
64.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
65.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
66.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
67.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
68.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
69.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
70.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
71.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
72.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
73.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
74.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
75.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
76.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
77.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
78.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
79.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
80.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
81.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
82.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
83.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
84.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
85.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
86.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
87.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
88.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
89.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
90.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
91.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
92.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
93.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
94.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
95.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
96.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
97.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
98.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
99.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
100.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
101.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
102.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
103.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
104.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
105.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
106.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
107.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
108.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
109.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
110.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
111.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
112.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
113.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
114.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
115.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
116.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
117.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
118.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
119.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
120.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
121.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
122.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
123.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
124.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
125.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
126.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
127.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
128.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
129.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
130.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
131.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
132.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
133.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
134.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
135.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
136.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
137.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
138.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
139.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
140.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
141.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
142.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
143.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
144.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
145.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
146.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
147.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
148.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
149.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
150.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
151.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
152.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
153.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
154.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
155.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
156.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
157.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
158.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
159.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
160.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
161.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
162.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
163.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
164.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
165.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
166.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
167.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
168.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
169.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
170.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
171.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
172.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
173.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
174.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
175.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
176.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
177.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
178.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
179.0,2.422,0.8,0.78,0.7171539204983457,0.0,0.0,0.6969148113750004
